mean,stdev,variance,skew,kurtosis,max,min,rms,en,fine_stdev,label
90.5490,2.1394,4.5772,0.1245,-0.9966,93.2440,88.0080,90.5680,8202.5543,2.1394,ECU0
100.8670,4.0735,16.5933,0.0623,-1.0920,105.8720,96.0160,100.9287,10186.5967,4.0735,ECU0
90.6773,2.7777,7.7156,0.1351,-1.5000,93.5520,88.0080,90.7057,8227.5225,2.7777,ECU0
96.2470,1.8882,3.5653,-0.8626,-0.9503,97.5560,93.5520,96.2609,9266.1590,1.8882,ECU0
108.8550,8.3269,69.3377,1.1049,-0.7093,121.2520,104.0040,109.0936,11901.4143,8.3269,ECU0
287.4840,12.8930,166.2290,0.9390,-0.8430,306.1800,277.5560,287.7008,82771.7220,4.1169,ECU0
110.1640,10.3475,107.0698,1.1021,-0.7099,125.5640,103.6960,110.5279,12216.4093,10.3475,ECU0
110.3950,12.1842,148.4543,1.1445,-0.6749,128.6440,103.6960,110.8981,12298.3967,12.1842,ECU0
94.7070,3.1748,10.0793,-0.8336,-0.8429,97.5560,90.1640,94.7469,8976.9753,3.1748,ECU0
102.0990,4.6871,21.9689,-0.6358,-1.1475,106.1800,95.7080,102.1797,10440.6825,4.6871,ECU0
251.9350,7.8217,61.1794,1.0066,-0.7811,263.4080,246.1600,252.0260,63517.1288,7.8217,ECU0
111.0110,13.2652,175.9648,1.1172,-0.6958,130.8000,102.7720,111.6038,12455.4157,13.2652,ECU0
117.4070,14.4268,208.1317,0.0044,-1.9841,130.8000,104.3120,118.0699,13940.5024,12.2566,ECU0
156.7860,3.2254,10.4034,-0.6274,-0.9156,160.0200,152.3200,156.8109,24589.6524,3.2254,ECU0
90.3950,3.7248,13.8739,-0.7055,-1.0776,93.5520,85.2360,90.4525,8181.6614,3.7248,ECU0
105.5440,3.1309,9.8026,-0.6925,-1.1305,108.0080,101.2320,105.5788,11146.8879,3.1309,ECU0
113.1770,14.3193,205.0422,-0.0049,-1.9911,125.8720,100.0200,113.8544,12962.8150,2.8382,ECU0
114.1010,12.4426,154.8177,0.0546,-1.7352,127.7200,101.2520,114.6087,13135.1515,3.3493,ECU0
272.9360,11.9738,143.3711,1.1168,-0.6930,290.8000,265.2360,273.1329,74601.5884,11.9738,ECU0
110.2410,11.4648,131.4420,1.1441,-0.6747,127.4120,103.6960,110.6872,12251.6596,11.4648,ECU0
94.5530,3.4698,12.0398,-0.8858,-0.8197,97.5560,89.5480,94.6007,8949.2997,3.4698,ECU0
110.2410,12.6427,159.8379,1.0617,-0.7309,128.9520,101.2320,110.7834,12272.9565,12.6427,ECU0
104.6350,14.3598,206.2040,1.0628,-0.7478,125.8720,95.7080,105.3714,11103.1363,4.8004,ECU0
